"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.252370530E0,7.553648949E-2,3.376296759E-1,-2.503935993E-1
1.262502366E0,7.252082974E-2,3.339723945E-1,-2.517461479E-1
1.272695237E0,6.949757785E-2,3.323345184E-1,-2.453549653E-1
1.282857591E0,6.746114790E-2,3.326765597E-1,-2.458072007E-1
1.303304368E0,6.740716845E-2,3.430021703E-1,-2.720852196E-1
1.322652513E0,6.371153891E-2,3.587916493E-1,-2.819006145E-1
1.332692796E0,6.199444830E-2,3.664883971E-1,-2.659118474E-1
1.342763597E0,5.940083042E-2,3.730857372E-1,-2.470201105E-1
1.352864915E0,5.690972507E-2,3.776355386E-1,-2.339833379E-1
1.362905198E0,5.355561152E-2,3.792158663E-1,-2.306962907E-1
1.372975999E0,5.225485563E-2,3.788310587E-1,-2.391100824E-1
1.383260423E0,5.203289539E-2,3.765076995E-1,-2.572785914E-1
1.403188401E0,5.382994562E-2,3.632421792E-1,-2.791123688E-1
1.413259202E0,5.290359259E-2,3.562265933E-1,-2.681879997E-1
1.423360520E0,5.009820312E-2,3.483369052E-1,-2.543797791E-1
1.433400804E0,4.541163519E-2,3.386189044E-1,-2.454730123E-1
1.443471604E0,4.079240561E-2,3.300064802E-1,-2.336840481E-1
1.453542405E0,3.721596301E-2,3.215382993E-1,-2.151206732E-1
1.463674241E0,3.371376544E-2,3.141897023E-1,-2.063194960E-1
1.473684007E0,3.223448619E-2,3.069743812E-1,-2.014454752E-1
1.483754808E0,3.181207180E-2,3.008610904E-1,-2.043841928E-1
1.493825608E0,2.855064906E-2,2.948644757E-1,-2.141663283E-1
1.503926927E0,2.440204844E-2,2.870590687E-1,-2.268954962E-1
1.513967210E0,2.131940983E-2,2.794068754E-1,-2.338179052E-1
1.524068528E0,1.832702197E-2,2.728980780E-1,-2.329890728E-1
1.534108811E0,1.639430597E-2,2.685244977E-1,-2.292722464E-1
1.544210130E0,1.550640538E-2,2.643759549E-1,-2.207237929E-1
1.554280931E0,1.566446014E-2,2.585413754E-1,-2.141538560E-1
1.564351731E0,1.394648384E-2,2.559159696E-1,-2.144298553E-1
1.574422532E0,1.424331777E-2,2.545792162E-1,-2.244663835E-1
1.584462815E0,1.752266660E-2,2.535765469E-1,-2.248097062E-1
1.594594651E0,2.085288428E-2,2.538641095E-1,-2.242111564E-1
1.604757005E0,2.227880433E-2,2.544859052E-1,-2.226724029E-1
1.614949876E0,2.276273817E-2,2.573460340E-1,-2.201900631E-1
1.625112229E0,2.425895818E-2,2.614275515E-1,-2.157890797E-1
1.635305101E0,2.578515746E-2,2.666981816E-1,-2.114121765E-1
1.654988938E0,2.991796099E-2,2.748090923E-1,-2.056403011E-1
1.665059739E0,3.251193836E-2,2.756352723E-1,-1.974326819E-1
1.675130540E0,3.511833772E-2,2.736288607E-1,-1.960535198E-1
1.685201341E0,3.871706873E-2,2.697458863E-1,-2.005293518E-1
1.695272142E0,4.039061815E-2,2.649421990E-1,-2.050218135E-1
1.705678636E0,4.110929370E-2,2.572890520E-1,-2.075856030E-1
1.725484544E0,4.253750294E-2,2.451195121E-1,-2.176304460E-1
1.735646897E0,4.514940456E-2,2.386629283E-1,-2.241421789E-1
1.745809251E0,4.380230233E-2,2.332710624E-1,-2.228943557E-1
1.755971604E0,4.138976336E-2,2.279720306E-1,-2.197253704E-1
1.766133958E0,3.984542936E-2,2.218016684E-1,-2.156070024E-1
1.776326829E0,3.818881512E-2,2.176767141E-1,-2.212425172E-1
1.786702806E0,3.546905145E-2,2.156143337E-1,-2.269029766E-1
1.806050950E0,4.049469158E-2,2.117776722E-1,-2.090986073E-1
1.816121751E0,4.047390446E-2,2.071024179E-1,-2.012002319E-1
1.826162034E0,3.845733404E-2,2.015635967E-1,-2.098609358E-1
1.836263352E0,3.447099775E-2,1.981115341E-1,-2.243757695E-1
1.846334153E0,3.242714331E-2,1.957749873E-1,-2.408500463E-1
1.856374436E0,3.525950387E-2,1.955363154E-1,-2.485821396E-1
1.866628343E0,4.003829509E-2,1.945103705E-1,-2.417362183E-1
1.886586839E0,3.888561577E-2,1.930294484E-1,-1.920881271E-1
1.896688157E0,3.490561992E-2,1.945523173E-1,-1.804155707E-1
1.906728440E0,3.677032515E-2,1.982046813E-1,-1.950235218E-1
1.916829759E0,4.059444740E-2,2.039729208E-1,-2.154773325E-1
1.926870042E0,4.539833590E-2,2.088898122E-1,-2.301068902E-1
1.936971360E0,4.923160374E-2,2.129284143E-1,-2.311227620E-1
1.947080225E0,5.209067091E-2,2.141130418E-1,-2.272853851E-1
1.957089990E0,5.105271190E-2,2.172594219E-1,-2.292938679E-1
1.967191309E0,4.903650284E-2,2.233044952E-1,-2.342327386E-1
1.977231592E0,4.993905500E-2,2.302697450E-1,-2.352876812E-1
1.987302393E0,5.181036144E-2,2.400595397E-1,-2.275979519E-1
1.997373193E0,5.269820988E-2,2.487461269E-1,-2.140807062E-1
2.007443994E0,5.453661829E-2,2.562840879E-1,-2.073860765E-1
2.017514795E0,5.245634541E-2,2.636329532E-1,-2.007055879E-1
2.027585596E0,4.839851707E-2,2.678444684E-1,-2.066869587E-1
2.037656397E0,4.528756067E-2,2.660331130E-1,-2.185183018E-1
2.047727197E0,4.605050758E-2,2.621208727E-1,-2.284209728E-1
2.057797998E0,4.679957405E-2,2.570930421E-1,-2.383361161E-1
2.067868799E0,4.850643501E-2,2.509803474E-1,-2.326997817E-1
2.077970117E0,4.824669659E-2,2.447703481E-1,-2.231869847E-1
2.088040918E0,4.504601285E-2,2.355839908E-1,-2.107703984E-1
2.098203272E0,4.182313755E-2,2.263745815E-1,-2.100438178E-1
2.108365625E0,4.053952917E-2,2.181496471E-1,-2.093305439E-1
2.118558496E0,4.023033008E-2,2.118978500E-1,-2.076562643E-1
2.128720850E0,3.992877156E-2,2.057022899E-1,-2.128046304E-1
2.148435205E0,4.030784965E-2,1.935506612E-1,-2.211859971E-1
2.158506006E0,4.195947573E-2,1.847315729E-1,-2.215002328E-1
2.168576807E0,3.875780478E-2,1.731773913E-1,-2.266851813E-1
2.178647607E0,3.558891267E-2,1.618521661E-1,-2.347947061E-1
2.189023584E0,3.343610838E-2,1.536672413E-1,-2.360940576E-1
2.208860010E0,2.928090841E-2,1.410205811E-1,-2.250757366E-1
2.218961328E0,2.534481697E-2,1.336657405E-1,-2.195607722E-1
2.229062647E0,2.439638600E-2,1.237573400E-1,-2.296072692E-1
2.239225000E0,2.448913082E-2,1.152045876E-1,-2.454821467E-1
2.249417871E0,2.951367944E-2,1.070878431E-1,-2.535659075E-1
2.259610742E0,3.265056014E-2,9.846832603E-2,-2.450964153E-1
2.270017236E0,3.097228147E-2,8.742254972E-2,-2.366136312E-1
2.289456934E0,2.580235526E-2,5.527844280E-2,-2.390602082E-1
2.299558252E0,2.424799651E-2,3.904400766E-2,-2.344222814E-1
2.309598535E0,2.272538096E-2,2.333440073E-2,-2.278207541E-1
2.319638818E0,1.832566969E-2,8.160938509E-3,-2.280103117E-1
2.329740137E0,1.786439121E-2,-7.515132893E-3,-2.330472767E-1
2.339810938E0,1.842662320E-2,-2.277866192E-2,-2.370933145E-1
2.349973291E0,2.000644431E-2,-4.048234969E-2,-2.479320467E-1
2.370053857E0,2.426425554E-2,-8.560175449E-2,-2.500760257E-1
2.380094141E0,2.206541598E-2,-1.127408147E-1,-2.365047187E-1
2.390164941E0,1.697773673E-2,-1.389385313E-1,-2.209540755E-1
2.400205225E0,1.191359479E-2,-1.603944451E-1,-2.151007354E-1
2.410276025E0,8.813290857E-3,-1.761833280E-1,-2.150550187E-1
2.420377344E0,4.759307019E-3,-1.892562211E-1,-2.169254720E-1
2.430448145E0,1.702387584E-3,-2.025508732E-1,-2.236334085E-1
2.440518945E0,-3.507650981E-4,-2.160471827E-1,-2.371232361E-1
2.450559229E0,-1.388720120E-3,-2.287851721E-1,-2.496146560E-1
2.460660547E0,-2.374925651E-3,-2.397879660E-1,-2.649965584E-1
2.470731348E0,-3.299924778E-3,-2.480874360E-1,-2.647862434E-1
2.480802148E0,-3.189567011E-3,-2.585676312E-1,-2.480143607E-1
2.490872949E0,-6.896630861E-3,-2.712033689E-1,-2.166220546E-1
2.500943750E0,-1.149268821E-2,-2.831057012E-1,-1.959113628E-1
2.510984033E0,-1.599262282E-2,-2.942517698E-1,-1.985266954E-1
2.521085352E0,-1.845286228E-2,-3.056419492E-1,-2.196073085E-1
2.531156152E0,-1.789920405E-2,-3.143886030E-1,-2.465096563E-1
2.541226953E0,-1.530751120E-2,-3.224748373E-1,-2.656158805E-1
2.551297754E0,-1.359753869E-2,-3.347839117E-1,-2.642832994E-1
2.561368555E0,-1.472693775E-2,-3.503254354E-1,-2.454314530E-1
2.571439356E0,-1.481869444E-2,-3.661745191E-1,-2.275480926E-1
2.581540674E0,-9.994025342E-3,-3.803824484E-1,-2.213422805E-1
2.591733545E0,-5.131738726E-3,-3.929757774E-1,-2.190311998E-1
2.601895898E0,-2.178630093E-3,-4.058941305E-1,-2.079729885E-1
2.612058252E0,1.771491137E-3,-4.162734151E-1,-1.881709695E-1
2.622220606E0,3.795599565E-3,-4.232127368E-1,-1.751973629E-1
2.641934961E0,2.030447358E-3,-4.318947196E-1,-1.921213716E-1
2.651975244E0,3.088405821E-3,-4.317902029E-1,-1.977053583E-1
2.662076563E0,4.114982206E-3,-4.313572645E-1,-1.945654750E-1
2.672483057E0,6.075702608E-3,-4.296617806E-1,-1.758931875E-1
2.692288965E0,5.967371166E-3,-4.254984260E-1,-1.483906209E-1
2.702329248E0,6.798950955E-3,-4.221377075E-1,-1.347004473E-1
2.712430566E0,8.537137881E-3,-4.195686281E-1,-1.327268928E-1
2.722501367E0,1.020871382E-2,-4.177976251E-1,-1.453887373E-1
2.732694238E0,1.084072515E-2,-4.187875092E-1,-1.590680927E-1
2.742856592E0,1.044205483E-2,-4.215709269E-1,-1.825213134E-1
2.753232568E0,9.994441643E-3,-4.232164919E-1,-1.855880320E-1
2.772855371E0,2.143194899E-3,-4.241287112E-1,-1.558616906E-1
2.782926172E0,-1.366638113E-3,-4.214717448E-1,-1.308547705E-1
2.792996973E0,-2.979970537E-3,-4.206711352E-1,-1.165942922E-1
2.803067773E0,-1.725092996E-3,-4.188509285E-1,-1.169750392E-1
2.813138574E0,1.427116687E-3,-4.160689116E-1,-1.290774047E-1
2.823209375E0,4.536513705E-3,-4.123831987E-1,-1.431666166E-1
2.833280176E0,5.665705539E-3,-4.068696797E-1,-1.514615268E-1
2.843350977E0,4.823059309E-3,-4.005399346E-1,-1.597938389E-1
2.853391260E0,2.015015809E-3,-3.953644335E-1,-1.701105237E-1
2.863462061E0,-2.746733371E-3,-3.913506866E-1,-1.794878244E-1
2.873563379E0,-6.528927945E-3,-3.875348866E-1,-1.850044429E-1
2.883603662E0,-9.311719798E-3,-3.829385936E-1,-1.759580225E-1
2.893674463E0,-1.205013972E-2,-3.765865266E-1,-1.494256258E-1
2.903775781E0,-1.471618284E-2,-3.704438508E-1,-1.316736042E-1
2.913846582E0,-1.536596380E-2,-3.645037413E-1,-1.236713231E-1
2.923886865E0,-1.301966608E-2,-3.568449318E-1,-1.361203343E-1
2.933957666E0,-1.058452297E-2,-3.474675119E-1,-1.592875719E-1
2.944058984E0,-1.000997610E-2,-3.402827084E-1,-1.727408171E-1
2.954099268E0,-8.385057561E-3,-3.333365321E-1,-1.813458055E-1
2.964200586E0,-8.633206598E-3,-3.266269565E-1,-1.870461851E-1
2.974271387E0,-7.842828520E-3,-3.211336732E-1,-1.859488338E-1
2.984311670E0,-7.003871724E-3,-3.158959150E-1,-1.829178482E-1
2.994382471E0,-8.067233488E-3,-3.099637032E-1,-1.740609556E-1
3.004514307E0,-1.103447471E-2,-3.033510745E-1,-1.603466719E-1
3.014554590E0,-1.300018188E-2,-2.970428169E-1,-1.466398686E-1
3.024625391E0,-1.494271774E-2,-2.910390198E-1,-1.368311197E-1
3.034696191E0,-1.395609602E-2,-2.843927145E-1,-1.377256215E-1
3.044766992E0,-1.393266395E-2,-2.780937552E-1,-1.522437930E-1
3.054807275E0,-1.194851100E-2,-2.750303149E-1,-1.677346081E-1
3.064908594E0,-9.948873892E-3,-2.732596397E-1,-1.832254231E-1
